model,n_train,function,output_dim_modeled_idx,rep,training_time,prediction_time,rmse,ci_coverage,pi_coverage
PCGP,200,borehole,0,0,5.34003210067749,0.08977913856506348,16.136801700681623,53.333333333333336,53.333333333333336
Surmise,200,borehole,0,0,0.01557612419128418,0.0005939006805419922,16.199010450976814,54.0,54.0
PCGP,200,otlcircuit,0,0,11.506530284881592,0.16855716705322266,0.018382840924126138,100.0,100.0
Surmise,200,otlcircuit,0,0,0.07075881958007812,0.0007929801940917969,0.02151945637980667,100.0,100.0
PCGP,200,piston,0,0,8.211910963058472,0.042511940002441406,0.035902293168829105,94.0,100.0
Surmise,200,piston,0,0,0.3871910572052002,0.0010869503021240234,0.04487935393981822,90.0,99.33333333333333
PCGP,600,borehole,0,0,19.04547905921936,0.12996697425842285,308.32507582944686,1.3333333333333335,1.3333333333333335
Surmise,600,borehole,0,0,0.3599720001220703,0.07600808143615723,308.31877912855623,2.0,2.0
PCGP,600,otlcircuit,0,0,44.9174427986145,0.20029377937316895,0.02355825556240018,100.0,100.0
Surmise,600,otlcircuit,0,0,0.6269879341125488,0.008233070373535156,0.02419635519023243,100.0,100.0
PCGP,600,piston,0,0,44.19193482398987,0.06047701835632324,0.03333393287153324,94.0,98.0
Surmise,600,piston,0,0,1.1701960563659668,0.004800081253051758,0.03115016803297587,92.0,98.0
PCGP,1000,borehole,0,0,40.17394185066223,0.19391989707946777,18.274652048204185,74.0,74.0
Surmise,1000,borehole,0,0,1.7913038730621338,0.008976936340332031,18.494469272109,73.33333333333333,73.33333333333333
PCGP,1000,otlcircuit,0,0,65.11305093765259,0.10465788841247559,0.009709165057006027,100.0,100.0
Surmise,1000,otlcircuit,0,0,0.6159529685974121,0.01559901237487793,0.012092331069933102,100.0,100.0
PCGP,1000,piston,0,0,107.98730683326721,0.3258378505706787,0.017589072239509323,94.66666666666667,100.0
Surmise,1000,piston,0,0,0.5406270027160645,0.010490179061889648,0.020688901605185408,95.33333333333334,100.0
PCGP,200,borehole,0,1,3.8276429176330566,0.013706207275390625,32.12625591090444,45.33333333333333,45.33333333333333
Surmise,200,borehole,0,1,0.023623943328857422,0.0006377696990966797,32.12573419181277,44.0,44.0
PCGP,200,otlcircuit,0,1,9.345436334609985,0.03971219062805176,0.017268269458987878,100.0,100.0
Surmise,200,otlcircuit,0,1,0.1356220245361328,0.0008139610290527344,0.0174759252192613,100.0,100.0
PCGP,200,piston,0,1,13.775696754455566,0.1562337875366211,0.04263391035288292,93.33333333333333,98.66666666666667
Surmise,200,piston,0,1,0.3032550811767578,0.0030317306518554688,0.04502053660840223,91.33333333333333,99.33333333333333
PCGP,600,borehole,0,1,9.819610118865967,0.03788018226623535,38.75785116557483,45.33333333333333,45.33333333333333
Surmise,600,borehole,0,1,0.3020920753479004,0.07099604606628418,38.76365330193818,46.0,46.0
PCGP,600,otlcircuit,0,1,35.35741901397705,0.1430797576904297,0.014558542822904889,100.0,100.0
Surmise,600,otlcircuit,0,1,0.7144007682800293,0.004478931427001953,0.016359226839275834,100.0,100.0
PCGP,600,piston,0,1,45.30561304092407,0.08258605003356934,0.03900925900864455,96.66666666666667,98.66666666666667
Surmise,600,piston,0,1,0.7792372703552246,0.004415988922119141,0.045938600685839874,96.0,98.0
PCGP,1000,borehole,0,1,49.69537615776062,0.09926772117614746,14.634200331450655,49.333333333333336,49.333333333333336
Surmise,1000,borehole,0,1,1.6836588382720947,0.0708763599395752,14.626399566427004,52.0,52.0
PCGP,1000,otlcircuit,0,1,57.61417078971863,0.17136216163635254,0.009820794472880846,100.0,100.0
Surmise,1000,otlcircuit,0,1,2.268684148788452,0.010119199752807617,0.012049957563212319,100.0,100.0
PCGP,1000,piston,0,1,115.92967677116394,0.2242431640625,0.021324800645697035,96.0,99.33333333333333
Surmise,1000,piston,0,1,2.4706339836120605,0.0165860652923584,0.02425207903105995,97.33333333333334,99.33333333333333
PCGP,200,borehole,0,2,5.757072925567627,0.07816815376281738,7.871525483640973,90.0,90.0
Surmise,200,borehole,0,2,0.04802894592285156,0.0019261837005615234,8.213004460881143,90.66666666666666,90.66666666666666
PCGP,200,otlcircuit,0,2,7.831817865371704,0.11926102638244629,0.011913995565303577,100.0,100.0
Surmise,200,otlcircuit,0,2,0.3022270202636719,0.0010509490966796875,0.015244751095258188,100.0,100.0
PCGP,200,piston,0,2,12.965084314346313,0.04546713829040527,0.03989312264314239,90.66666666666666,97.33333333333334
Surmise,200,piston,0,2,0.49623918533325195,0.00115203857421875,0.04037467943754676,93.33333333333333,97.33333333333334
PCGP,600,borehole,0,2,38.10095691680908,0.01985001564025879,229.63799086402418,2.0,2.0
Surmise,600,borehole,0,2,0.41203784942626953,0.05924701690673828,229.53324631400997,1.3333333333333335,1.3333333333333335
PCGP,600,otlcircuit,0,2,26.714531183242798,0.12912893295288086,0.01464733289060033,100.0,100.0
Surmise,600,otlcircuit,0,2,0.6545217037200928,0.0249483585357666,0.015841121225737335,100.0,100.0
PCGP,600,piston,0,2,44.96728825569153,0.1486818790435791,0.02097625321971577,94.66666666666667,100.0
Surmise,600,piston,0,2,0.9593169689178467,0.0679769515991211,0.02679229503113645,90.66666666666666,100.0
PCGP,1000,borehole,0,2,57.89742922782898,0.15607714653015137,69.64653180376415,32.666666666666664,32.666666666666664
Surmise,1000,borehole,0,2,2.2040181159973145,0.018845796585083008,69.71977956942405,31.333333333333336,31.333333333333336
PCGP,1000,otlcircuit,0,2,77.06197667121887,0.5396609306335449,0.008094638568981221,100.0,100.0
Surmise,1000,otlcircuit,0,2,3.0553407669067383,0.05123090744018555,0.013678818134741142,100.0,100.0
PCGP,1000,piston,0,2,112.49050879478455,0.13273191452026367,0.01809696774128757,97.33333333333334,100.0
Surmise,1000,piston,0,2,0.9850971698760986,0.12612104415893555,0.021929323698780503,96.66666666666667,100.0
PCGP,200,borehole,0,3,6.429040193557739,0.023649930953979492,138.5023426242017,26.0,26.0
Surmise,200,borehole,0,3,0.04317617416381836,0.0006108283996582031,138.30485315689737,30.0,30.0
PCGP,200,otlcircuit,0,3,7.724654197692871,0.1395280361175537,0.016791775470771497,100.0,100.0
Surmise,200,otlcircuit,0,3,0.1854228973388672,0.015816926956176758,0.01601130156095226,100.0,100.0
PCGP,200,piston,0,3,14.345080852508545,0.14244914054870605,0.043137958893091265,94.0,98.0
Surmise,200,piston,0,3,1.1709189414978027,0.0012259483337402344,0.04521896722672236,90.66666666666666,98.0
PCGP,600,borehole,0,3,19.08268404006958,0.03632211685180664,107.40679790691897,42.66666666666667,42.66666666666667
Surmise,600,borehole,0,3,0.6430370807647705,0.003793954849243164,107.43352417595374,41.333333333333336,41.333333333333336
PCGP,600,otlcircuit,0,3,41.806978702545166,0.13912010192871094,0.011433221087103606,100.0,100.0
Surmise,600,otlcircuit,0,3,0.6242537498474121,0.0052890777587890625,0.011301227727463605,100.0,100.0
PCGP,600,piston,0,3,51.64916515350342,0.14801478385925293,0.028529212883935447,94.0,99.33333333333333
Surmise,600,piston,0,3,2.503146171569824,0.02166581153869629,0.030263452038378286,94.0,99.33333333333333
PCGP,1000,borehole,0,3,37.283220052719116,0.09725594520568848,17.577599034311348,80.0,80.0
Surmise,1000,borehole,0,3,1.8973419666290283,0.10624098777770996,17.540059900012206,80.0,80.0
PCGP,1000,otlcircuit,0,3,63.2730278968811,0.2010209560394287,0.006423974345093207,100.0,100.0
Surmise,1000,otlcircuit,0,3,1.2238681316375732,0.01981496810913086,0.008959318759614617,100.0,100.0
PCGP,1000,piston,0,3,89.73448920249939,0.04385709762573242,0.02094631211056291,96.66666666666667,99.33333333333333
Surmise,1000,piston,0,3,0.5808489322662354,0.010096073150634766,0.026376889121103052,94.66666666666667,98.66666666666667
PCGP,200,borehole,0,4,6.172248125076294,0.021790266036987305,10.691635226028367,44.0,44.0
Surmise,200,borehole,0,4,0.21840596199035645,0.000762939453125,10.698451113091933,44.666666666666664,44.666666666666664
PCGP,200,otlcircuit,0,4,8.194394826889038,0.03048872947692871,0.021711478148752416,100.0,100.0
Surmise,200,otlcircuit,0,4,0.0794060230255127,0.0010509490966796875,0.020195438519562754,100.0,100.0
PCGP,200,piston,0,4,9.582181692123413,0.028727054595947266,0.035142630566704317,96.0,100.0
Surmise,200,piston,0,4,0.17984318733215332,0.0009968280792236328,0.03774280066116234,94.66666666666667,100.0
PCGP,600,borehole,0,4,18.147938013076782,0.2027759552001953,530.3868004261024,0.0,0.0
Surmise,600,borehole,0,4,0.6406590938568115,0.05921792984008789,530.4115571612701,0.0,0.0
PCGP,600,otlcircuit,0,4,29.599162101745605,0.05567002296447754,0.011554107823301426,100.0,100.0
Surmise,600,otlcircuit,0,4,0.38082408905029297,0.0063021183013916016,0.013649125931017704,100.0,100.0
PCGP,600,piston,0,4,48.82621121406555,0.03766989707946777,0.022921911112976714,96.0,100.0
Surmise,600,piston,0,4,0.2981150150299072,0.005661964416503906,0.029397957780887236,93.33333333333333,100.0
PCGP,1000,borehole,0,4,53.10767102241516,0.02311396598815918,19.270810849213177,54.0,54.0
Surmise,1000,borehole,0,4,0.310683012008667,0.008661031723022461,19.212369461813413,54.666666666666664,54.666666666666664
PCGP,1000,otlcircuit,0,4,51.522412061691284,0.0253598690032959,0.01102563497906819,100.0,100.0
Surmise,1000,otlcircuit,0,4,0.6820170879364014,0.019871950149536133,0.012523834851243315,100.0,100.0
PCGP,1000,piston,0,4,61.56714105606079,0.024966955184936523,0.025379517504360943,93.33333333333333,98.66666666666667
Surmise,1000,piston,0,4,0.3936450481414795,0.0091400146484375,0.02788504414541308,95.33333333333334,98.0
